Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region
C_CND_000001,2-Jan-2022,Geraldine,Male,13500,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Double Overhead Camshaft,Auto,Black,"$26,000.",06457-3834,SUV,8264678,Middletown
C_CND_000002,2-Jan-2022,Gia,Male,1480000,C & M Motors Inc,Dodge,Durango,Double Overhead Camshaft,Auto,Black,"$19,000.",60504-7114,SUV,6848189,Aurora
C_CND_000003,2-Jan-2022,Gianna,Male,1035000,Capitol KIA,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,"$31,500.",38701-8047,Passenger,7298798,Greenville
C_CND_000004,2-Jan-2022,Giselle,Male,13500,Chrysler of Tri-Cities,Toyota,Celica,Overhead Camshaft,Manual,Pale White,"$14,000.",99301-3882,SUV,6257557,Pasco
C_CND_000005,2-Jan-2022,Grace,Male,1465000,Chrysler Plymouth,Acura,TL,Double Overhead Camshaft,Auto,Red,"$24,500.",53546-9427,Hatchback,7081483,Janesville
C_CND_000006,2-Jan-2022,Guadalupe,Male,850000,Classic Chevy,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,"$12,000.",85257-3102,Hatchback,7315216,Scottsdale
C_CND_000007,2-Jan-2022,Hailey,Male,1600000,Clay Johnson Auto Sales,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,"$14,000.",78758-7841,Passenger,7727879,Austin
C_CND_000008,2-Jan-2022,Graham,Male,13500,U-Haul CO,Mitsubishi,Galant,Double Overhead Camshaft,Auto,Pale White,"$42,000.",78758-7841,Passenger,6206512,Austin
C_CND_000009,2-Jan-2022,Naomi,Male,815000,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,"$82,000.",85257-3102,Hardtop,7194857,Pasco
C_CND_000010,2-Jan-2022,Grayson,Female,13500,Rabun Used Car Sales,Ford,Escort,Double Overhead Camshaft,Auto,Pale White,"$15,000.",85257-3102,Passenger,7836892,Scottsdale
C_CND_000011,2-Jan-2022,Gregory,Male,13500,Race Car Help,Acura,RL,Overhead Camshaft,Manual,Pale White,"$31,000.",78758-7841,SUV,7995489,Austin
C_CND_000012,2-Jan-2022,Amar'E,Male,13500,Race Car Help,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,"$46,000.",78758-7841,Hardtop,7288103,Pasco
C_CND_000013,2-Jan-2022,Griffin,Male,885000,Saab-Belle Dodge,Mercury,Grand Marquis,Double Overhead Camshaft,Auto,Black,"$9,000.",60504-7114,SUV,6842408,Aurora
C_CND_000014,2-Jan-2022,Harrison,Male,13500,Scrivener Performance Engineering,BMW,323i,Double Overhead Camshaft,Auto,Pale White,"$15,000.",38701-8047,Hatchback,7558767,Greenville
C_CND_000015,2-Jan-2022,Zainab,Male,722000,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,"$26,000.",06457-3834,Sedan,7677191,Middletown
C_CND_000016,2-Jan-2022,Zara,Male,746000,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,Pale White,"$17,000.",60504-7114,Hatchback,8431908,Aurora
C_CND_000017,2-Jan-2022,Zoe,Female,535000,Capitol KIA,Hyundai,Accent,Overhead Camshaft,Manual,Black,"$18,000.",38701-8047,Hatchback,7814646,Greenville
C_CND_000018,2-Jan-2022,Zoey,Female,570000,Chrysler of Tri-Cities,Cadillac,Eldorado,Double Overhead Camshaft,Auto,Pale White,"$31,000.",99301-3882,Passenger,7456650,Pasco
C_CND_000019,2-Jan-2022,Aaliyah,Male,685000,Chrysler Plymouth,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,Pale White,"$33,000.",53546-9427,SUV,7627010,Janesville
C_CND_000020,2-Jan-2022,Abigail,Male,455000,Classic Chevy,Honda,Accord,Double Overhead Camshaft,Auto,Pale White,"$21,000.",85257-3102,Sedan,6736704,Scottsdale
C_CND_000021,2-Jan-2022,Adrianna,Male,13500,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Manual,Black,"$25,000.",78758-7841,Sedan,7889827,Austin
C_CND_000022,2-Jan-2022,Joshua,Male,2500000,Classic Chevy,Infiniti,I30,Double Overhead Camshaft,Auto,Black,"$21,000.",85257-3102,Hardtop,6183219,Austin
C_CND_000023,2-Jan-2022,Marcus,Male,585000,Diehl Motor CO Inc,Audi,A4,Overhead Camshaft,Manual,Pale White,"$12,000.",06457-3834,Hardtop,8097778,Middletown
C_CND_000024,2-Jan-2022,Arthur,Male,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,Double Overhead Camshaft,Auto,Pale White,"$18,000.",99301-3882,Passenger,7959858,Pasco
C_CND_000025,2-Jan-2022,Lizzie,Male,672000,Suburban Ford,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Pale White,"$22,000.",53546-9427,Passenger,8570849,Janesville
C_CND_000026,2-Jan-2022,Florian,Male,801250,Tri-State Mack Inc,Dodge,Viper,Double Overhead Camshaft,Auto,Pale White,"$31,250.",85257-3102,SUV,8520534,Scottsdale
C_CND_000027,2-Jan-2022,Cassandre,Female,820000,U-Haul CO,Buick,Regal,Double Overhead Camshaft,Auto,Black,"$19,000.",78758-7841,Passenger,6362556,Austin
C_CND_000028,2-Jan-2022,Syrielle,Male,791000,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,"$41,000.",53546-9427,Hatchback,6281210,Janesville
C_CND_000029,2-Jan-2022,Sloane,Male,13500,Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,"$41,000.",78758-7841,Hatchback,6292720,Janesville
C_CND_000030,2-Jan-2022,Sofia,Male,1020000,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,"$13,000.",06457-3834,Hatchback,7698986,Scottsdale
C_CND_000031,2-Jan-2022,Sophia,Male,210000,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,"$20,000.",60504-7114,Sedan,8847858,Austin
C_CND_000032,2-Jan-2022,Sophie,Male,750000,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,"$14,000.",38701-8047,Hatchback,8344679,Middletown
C_CND_000033,2-Jan-2022,Stella,Male,635000,Star Enterprises Inc,Honda,Accord,Double Overhead Camshaft,Auto,Pale White,"$19,000.",99301-3882,Sedan,6827044,Aurora
C_CND_000034,2-Jan-2022,Suri,Male,675000,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,"$43,000.",85257-3102,Hatchback,7954038,Greenville
C_CND_000035,2-Jan-2022,Sury,Male,880000,U-Haul CO,Jaguar,S-Type,Double Overhead Camshaft,Auto,Black,"$16,000.",78758-7841,Passenger,7400390,Pasco
C_CND_000036,3-Jan-2022,Haley,Male,13500,Diehl Motor CO Inc,Volvo,S40,Double Overhead Camshaft,Auto,Pale White,"$42,000.",06457-3834,Sedan,7153628,Middletown
C_CND_000037,3-Jan-2022,Hannah,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,Double Overhead Camshaft,Auto,Pale White,"$21,000.",60504-7114,SUV,6125796,Aurora
C_CND_000038,3-Jan-2022,Haylee,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,Double Overhead Camshaft,Auto,Black,"$61,000.",38701-8047,Hatchback,7438037,Greenville
C_CND_000039,3-Jan-2022,Hayley,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Pale White,"$39,000.",99301-3882,SUV,6837588,Pasco
C_CND_000040,3-Jan-2022,Harry,Female,13500,Star Enterprises Inc,Nissan,Sentra,Double Overhead Camshaft,Auto,Black,"$16,000.",99301-3882,Passenger,7213857,Pasco
C_CND_000041,3-Jan-2022,Henry,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,"$26,000.",53546-9427,Sedan,7704004,Janesville
C_CND_000042,3-Jan-2022,Hersh,Female,13500,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,"$21,000.",85257-3102,Sedan,8018700,Scottsdale
C_CND_000043,3-Jan-2022,Hershel,Male,967500,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,"$42,500.",78758-7841,Passenger,6793858,Austin
C_CND_000044,3-Jan-2022,Aicha,Male,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Black,"$45,001.",06457-3834,Hatchback,6739543,Middletown
C_CND_000045,3-Jan-2022,Aisha,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,"$36,001.",60504-7114,Hatchback,6091237,Aurora
C_CND_000046,3-Jan-2022,Aissatou,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,"$12,000.",38701-8047,Hatchback,6547535,Greenville
C_CND_000047,3-Jan-2022,Alana,Male,1250000,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,"$21,001.",99301-3882,Hatchback,8689761,Pasco
C_CND_000048,3-Jan-2022,Chloe,Male,730000,Rabun Used Car Sales,Acura,TL,Double Overhead Camshaft,Auto,Pale White,"$29,000.",85257-3102,Hatchback,6404807,Scottsdale
C_CND_000049,3-Jan-2022,Valentine,Male,4060000,Race Car Help,Nissan,Altima,Double Overhead Camshaft,Auto,Pale White,"$20,000.",78758-7841,Hatchback,7117432,Austin
C_CND_000050,3-Jan-2022,Aurore,Male,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,Double Overhead Camshaft,Auto,Pale White,"$22,000.",06457-3834,SUV,7836930,Middletown
C_CND_000051,3-Jan-2022,Nikita,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,Double Overhead Camshaft,Auto,Pale White,"$31,000.",60504-7114,Hatchback,7316398,Aurora
C_CND_000052,3-Jan-2022,Justine,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,Double Overhead Camshaft,Auto,Black,"$27,000.",53546-9427,Hardtop,7680267,Austin
C_CND_000053,3-Jan-2022,Sylvia,Female,640000,C & M Motors Inc,Mercury,Cougar,Double Overhead Camshaft,Auto,Black,"$33,000.",60504-7114,Hatchback,6402878,Scottsdale
C_CND_000054,3-Jan-2022,Chloe,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,"$14,000.",38701-8047,Hardtop,7890478,Middletown
C_CND_000055,3-Jan-2022,Tamar,Male,520000,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,"$17,000.",99301-3882,SUV,8523869,Middletown
C_CND_000056,4-Jan-2022,Hazel,Male,1876000,Iceberg Rentals,Saturn,SW,Double Overhead Camshaft,Auto,Pale White,"$25,600.",53546-9427,Passenger,8852693,Janesville
C_CND_000057,4-Jan-2022,Heaven,Male,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,"$17,000.",85257-3102,Hatchback,6444851,Scottsdale
C_CND_000058,4-Jan-2022,Heidi,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,"$21,000.",78758-7841,SUV,6052630,Austin
C_CND_000059,4-Jan-2022,Hershy,Male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,"$12,000.",06457-3834,Hatchback,8939776,Middletown
C_CND_000060,4-Jan-2022,Hudson,Male,1800000,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,"$17,000.",60504-7114,Passenger,7177888,Aurora
C_CND_000061,4-Jan-2022,Amare,Male,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,"$36,000.",06457-3834,Hardtop,6139882,Janesville
C_CND_000062,4-Jan-2022,Alexandria,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,"$17,000.",53546-9427,Hatchback,7181009,Janesville
C_CND_000063,4-Jan-2022,Alexis,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,"$41,000.",85257-3102,Hatchback,7936565,Austin
C_CND_000064,4-Jan-2022,Alyssa,Female,280000,Nebo Chevrolet,Audi,A6,Double Overhead Camshaft,Auto,Black,"$14,000.",06457-3834,SUV,7419754,Middletown
C_CND_000065,4-Jan-2022,Coline,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,Double Overhead Camshaft,Auto,Pale White,"$31,100.",38701-8047,Sedan,8637804,Greenville
C_CND_000066,4-Jan-2022,Annaelle,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,Double Overhead Camshaft,Auto,Black,"$61,000.",99301-3882,Hatchback,8380613,Pasco
C_CND_000067,4-Jan-2022,Anais,Male,13500,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,"$26,000.",53546-9427,SUV,6595676,Janesville
C_CND_000068,4-Jan-2022,Taylor,Male,895000,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,"$12,000.",53546-9427,Passenger,7244029,Aurora
C_CND_000069,4-Jan-2022,Tessa,Female,660000,Classic Chevy,Volvo,S40,Double Overhead Camshaft,Auto,Pale White,"$42,000.",85257-3102,Sedan,6741165,Greenville
C_CND_000070,4-Jan-2022,Toby,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Pale White,"$21,000.",78758-7841,Hatchback,8822935,Pasco
C_CND_000071,5-Jan-2022,Heidy,Male,1636000,Nebo Chevrolet,Cadillac,DeVille,Double Overhead Camshaft,Auto,Pale White,"$22,600.",06457-3834,SUV,8026457,Middletown
C_CND_000072,5-Jan-2022,Helen,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,"$45,000.",60504-7114,Passenger,8872334,Aurora
C_CND_000073,5-Jan-2022,Imani,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,"$25,000.",38701-8047,SUV,6204993,Greenville
C_CND_000074,5-Jan-2022,Ingrid,Male,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,Double Overhead Camshaft,Auto,Pale White,"$62,000.",99301-3882,Sedan,7031644,Pasco
C_CND_000075,5-Jan-2022,Irene,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Black,"$22,700.",53546-9427,Passenger,7179280,Janesville
C_CND_000076,5-Jan-2022,Iris,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Black,"$45,000.",85257-3102,SUV,6245275,Scottsdale
C_CND_000077,5-Jan-2022,Hunter,Male,1200000,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,"$17,000.",99301-3882,Hatchback,7072635,Pasco
C_CND_000078,5-Jan-2022,James,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,"$49,000.",78758-7841,Hardtop,6766211,Austin
C_CND_000079,5-Jan-2022,Ilan,Male,410000,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,"$15,000.",85257-3102,SUV,8011357,Scottsdale
C_CND_000080,5-Jan-2022,Isaac,Male,930000,Clay Johnson Auto Sales,Acura,TL,Double Overhead Camshaft,Auto,Black,"$28,000.",78758-7841,Hatchback,7539127,Austin
C_CND_000081,5-Jan-2022,Aaron,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,"$46,000.",85257-3102,Hardtop,6559063,Greenville
C_CND_000082,5-Jan-2022,Israel,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,"$43,000.",60504-7114,Hatchback,8082987,Aurora
C_CND_000083,5-Jan-2022,Amara,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Double Overhead Camshaft,Auto,Pale White,"$41,000.",60504-7114,Sedan,7328070,Aurora
C_CND_000084,5-Jan-2022,Amaya,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,Double Overhead Camshaft,Auto,Pale White,"$45,000.",38701-8047,SUV,7078803,Greenville
C_CND_000085,5-Jan-2022,Amelia,Male,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,"$22,001.",99301-3882,Hatchback,8636283,Pasco
C_CND_000086,5-Jan-2022,Amia,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,"$25,001.",53546-9427,Sedan,7109521,Janesville
C_CND_000087,5-Jan-2022,Amina,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,"$12,800.",85257-3102,Sedan,7305344,Scottsdale
C_CND_000088,5-Jan-2022,Aminata,Male,13500,Race Car Help,Chrysler,300M,Double Overhead Camshaft,Auto,Black,"$26,000.",78758-7841,SUV,8941079,Austin
C_CND_000089,5-Jan-2022,Alizee,Male,13500,Tri-State Mack Inc,BMW,328i,Double Overhead Camshaft,Auto,Black,"$18,000.",85257-3102,Sedan,6136111,Scottsdale
C_CND_000090,5-Jan-2022,Caroline,Male,2550000,U-Haul CO,Oldsmobile,Bravada,Double Overhead Camshaft,Auto,Pale White,"$19,000.",78758-7841,Hatchback,8001444,Austin
C_CND_000091,5-Jan-2022,Wadia,Male,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,"$22,500.",06457-3834,Sedan,7696195,Middletown
C_CND_000092,5-Jan-2022,Mauricio,Male,13500,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,"$21,001.",78758-7841,Hardtop,8188037,Austin
C_CND_000093,5-Jan-2022,Maximilian,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,"$46,500.",60504-7114,Hardtop,8351089,Aurora
C_CND_000094,5-Jan-2022,Elisa,Male,13500,Chrysler of Tri-Cities,Chrysler,300M,Double Overhead Camshaft,Auto,Pale White,"$16,000.",99301-3882,SUV,6130679,Pasco
C_CND_000095,5-Jan-2022,Tzipora,Male,2110000,Diehl Motor CO Inc,Volvo,V70,Double Overhead Camshaft,Auto,Black,"$39,000.",06457-3834,Passenger,6260413,Janesville
C_CND_000096,5-Jan-2022,Tziporah,Female,13500,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,"$19,000.",60504-7114,SUV,8750989,Scottsdale
C_CND_000097,5-Jan-2022,Tzippy,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,Double Overhead Camshaft,Auto,Black,"$26,000.",38701-8047,Hatchback,6784534,Austin
C_CND_000098,5-Jan-2022,Tzivia,Male,13500,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,"$43,000.",99301-3882,Sedan,7944735,Janesville
C_CND_000099,5-Jan-2022,Valentina,Female,13500,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,"$54,000.",53546-9427,Sedan,8099375,Scottsdale
C_CND_000100,5-Jan-2022,Valerie,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,Double Overhead Camshaft,Auto,Pale White,"$22,000.",85257-3102,SUV,6641303,Austin
C_CND_000101,6-Jan-2022,Isabel,Male,13500,Race Car Help,Lexus,ES300,Double Overhead Camshaft,Auto,Black,"$16,001.",78758-7841,SUV,8158584,Austin
